Title,Url,Page,Location on page,Side,Drawing Inscription,Drawing Date,Support Material,Drawing Medium and Style,Set of Drawings,Drawing Source,Title of depicted object,Current Location,GeolocCurrentLocation,Current inventory no.,Source object material,Source object type,Date,Discovery date,Archeological Findspot,geolocFindspot,Provenance,Collector,Iconography,Tracing Source,Online Collection Record,Bibliographic References:,Notes,Updated date
Herm - Women (profile view),http://digitalmontagny.inha.fr/en/record/montagny04v02,Folio 4 Verso,"Leaf 4v, center of the page","Horizontal, turn book clockwise","2., Termine che , sta nel Bosco, della villa Medici , in Roma , altezza Palmi , 9. meno un oncia",,White paper,"Ink, line drawing",,Original work of art (made from),Herm,Rome. Villa Medici,"41.9083567, 12.4825788","Cagiano de Azevedo, n. 280",marble (rock),statue,After 313 D. C.,,"Italy, Rome, Basilica of Maxentius and Constantine","41.9027835, 12.4963655","villa Medici, Rome",,"Herm, term",,,"Cagiano de Azevedo, 1951",,2015-09-12T19:26:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"pp. 114, tav. LI, n. 112-113",,
Instrumentum - Cupid and Psyche,http://digitalmontagny.inha.fr/en/record/montagny14v07a,Folio 14 Verso,"Leaf 14v, bottom right of the page",Vertical,"aiguille de tête , en argent",,Transparent paper,"Ink, chiaroscuro",,Engraving,Cupid and Psyche,Lost,,,silver (metal),hairpin,1st c. AD,,"Italy, Herculaneum",,"Portici Museum, Joséphine de Beauharnais (gift from Ferdinand IV, 1802), Chevalier Durand (1815), Pourtalès-Georgier",,Cupid and Psyche as lovers,"Saint-Non et al., 1790 - SA, pl. 16h (57)",,"Denoyelle, Descamps-Lequime, and Etienne, 2008",,2015-09-12T13:48:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n° 131 p. 213,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,With further bibliography,,
Lamp - Acrobat,http://digitalmontagny.inha.fr/en/record/montagny33r02,Folio 33 Recto,"Leaf 33r, left of the page, second drawing form the top",Vertical,"Saltator preso d'una Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,1680,"Italy, Rome, villa Corsini","41.89123499999999, 12.463467","discovered in the years 1680's, in a tomb ornated with a floor mosaic near the Villa Corsini.",,Acrobat,"Bartoli, 1691 - I, pl. 34",,,,2015-07-29T14:32:00Z
Lamp - Acrobats,http://digitalmontagny.inha.fr/en/record/montagny33r01,Folio 33 Recto,"Leaf 33r, top left of the page",Vertical,"Saltatores , d'una Lucerna Antica",,Transparent paper,"Ink, line drawing",,Engraving,Lamp - Saltatores,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,Unknown,,Acrobat,"Bartoli, 1691 - I, pl. 36",,,,2015-07-29T14:33:00Z
Lamp - Acrobats,http://digitalmontagny.inha.fr/en/record/montagny33r03,Folio 33 Recto,"Leaf 33r, left of the page, third drawing form the top",Vertical,"[black ink, directly on leaf] Saltatores , Tolto d'una Lucerna Antica",,Transparent paper,"Ink, line drawing",,Engraving,Lamp - Saltatores,Berlin. Collection of Classical Antiquities,"52.52000659999999, 13.404954",TC 953,,lamps (lighting devices),Tiberius or Claudius Era,,,,Formerly in Giov. Pietro Bellori coll. (17th c.),,Acrobat,"Bartoli, 1691 - I, pl. 37",,"Beger, 1696","Three Pygmies holding a bundle of roots (Heres), Slaves supporting with both hands a bundle of tied-up hunting nets (Walters)",2015-08-03T15:53:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, pl. 37",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Heres, 1972",,
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 131,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Montagny's drawing is reversed; there is a similar lamp in the British Museum, from the Temenos of Demeter, Knidos. (Walters 1914, n. 681)",,
Lamp - Aeneas fleeing Troy,http://digitalmontagny.inha.fr/en/record/montagny35r04,Folio 35 Recto,"Leaf 35r, first drawing on center right of the page",Vertical,"tolto d'una Lucerna Antica , AEneas Anchisen portans",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,Formerly in Pietro Santi Bartoli coll. (17th c.),,"Aeneas, Armour, Helmet","Bartoli, 1691 - III, pl. 10",,,,2015-07-29T13:55:00Z
Lamp - Apollo and Griffin,http://digitalmontagny.inha.fr/en/record/montagny36r01,Folio 36 Recto,"Leaf 36r, top left of the page",Vertical,"Apollo cum grypho , ricavato d'una Lucerna Antica",,Transparent paper,"Ink, line drawing",,Engraving,Lamp - Apollo and Griffin,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,"Formerly in Giov. Pietro Bellori coll. (17th c.), Then king Friedrich of Prussia coll. (1700)",,"Apollo, Dolphin, Griffin, Lyre, Palmette","Bartoli, 1691 - II, pl. 14",,,,2015-07-29T13:54:00Z
Lamp - Bacchant and a dog,http://digitalmontagny.inha.fr/en/record/montagny36r04,Folio 36 Recto,"Leaf 36r, second drawing on the top right of the page",Vertical,"Bacchaus furiosus , Tolto , d'una Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,Metamorphosis of Actaeon,Paris. Bibliothèque Nationale,"48.8335842, 2.3757659","cabinet des médailles, Oppermann 127",,lamps (lighting devices),2nd third of the 1st c. AD,,,,Formerly in Marco Antonio Sabatini coll. (17th century),,"Actaeon, Bacchant, Dog, Thyrsus","Bartoli, 1691 - II, pl. 24",,"Hellmann, 1987",,2015-07-29T14:29:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 118,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,The engraving is reversed.,,
Lamp - Bear fighting with a bull,http://digitalmontagny.inha.fr/en/record/montagny28r01,Folio 28 Recto,"Leaf 28r, top left of the page","Horizontal, turn book clockwise","Cortamen Ursi et Tauri , preso d'una Lucerna Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,Formerly in Pietro Santi Bartoli coll. (17th c.),,"Bear, Bull, Fighting","Bartoli, 1691 - I, pl. 33",,,,2015-08-03T12:13:00Z
Lamp - Capitoline Triad,http://digitalmontagny.inha.fr/en/record/montagny42r03,Folio 42 Recto,"Leaf 42r, top right of the page",Vertical,"Jupiter, Juno & Minerva. , Tolto d'una Lucerna Antica.",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,lamps (lighting devices),,,,,Formerly in Carlo Antonio dal Pozzo coll. (2nd part of the 17th c.),Carlo Antonio dal Pozzo,"Capitoline triad, Cornucopia, Eagle, Garland, Juno, Jupiter, Minerva, Shield, Spear","Bartoli, 1691 - II, pl. 10",,,,2015-04-20T18:47:00Z
Lamp - Cerberus,http://digitalmontagny.inha.fr/en/record/montagny63r03,Folio 63 Recto,"Leaf 63r, center right of the page",Vertical,"chi lapiglia , per Monstrum , triceps Serapis , alexandrini. , Tolto dall' , Antico , Cerberum , tricipitem",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,"Italy, Rome, near Porta Capena","41.8845833, 12.489475",17th c. : Pietro Santi Bartoli coll.,,Cerberus,"Bartoli, 1691 - II, pl. 7",,"Bartoli, Bellori and Beger, 1702",,2015-08-15T14:27:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, pl. 6",,
Lamp - Charioter (biga),http://digitalmontagny.inha.fr/en/record/montagny44r03,Folio 44 Recto,"Leaf 44r, center of the page",Vertical,"cursus , Bigarum , d'una , Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,Lamp - Biga,Location unknown,,,,lamps (lighting devices),1st c. AD,,,,Formerly in Pietro Santi Bartoli coll. (17th c.),,"Biga, Chariot, Horse","Bartoli, 1691 - I, pl. 25",,,,2015-07-27T14:19:00Z
Lamp - Charon's boat,http://digitalmontagny.inha.fr/en/record/montagny18r01,Folio 18 Recto,"Leaf 18r, top of the page, left",Vertical,"d'una Lucerna Antica. A, vectura charontis.",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,17th century,"Italy, area of Perugia","43.1051921, 12.3777458",Formerly in Signor Evangelista Blasii's coll. (17th century),,"Charon, Charon's boat, Mercury, Caduceus (Attributes of Mercury), Petasus (Attributes of Mercury)","Bartoli, 1691 - I, pl. 12",,,,2015-08-15T14:25:00Z
Lamp - Cupid,http://digitalmontagny.inha.fr/en/record/montagny27r02,Folio 27 Recto,"Leaf 27r, top center of the page","Horizontal, turn book clockwise","Amor , maritimus , d'una Lucerna Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,"Italy, Rome, Via Flaminia","41.9419192, 12.4718514",Formerly in Pietro Santi Bartoli coll. (17th c.),,"Conch, Cupid","Bartoli, 1691 - I, pl. 6",,,,2015-08-03T15:27:00Z
Lamp - Cupid and Psyche,http://digitalmontagny.inha.fr/en/record/montagny41r02,Folio 41 Recto,"Leaf 41r, bottom left of the page",Vertical,"Amor & Psyche , Tolto , d'una , Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,lamps (lighting devices),,,"Italy, Rome, behind Porta Portuense","41.9027835, 12.4963655",Formerly in Pietro Santi Bartoli coll. (17th c.),,"Cupid, Cupid and Psyche as lovers, Psyche, Torch","Bartoli, 1691 - I, pl. 7",,,,2015-07-27T14:45:00Z
Lamp - Cupid holding a hare and a peacock,http://digitalmontagny.inha.fr/en/record/montagny27r06,Folio 27 Recto,"Leaf 27r, bottom of the page (middle)","Horizontal, turn book clockwise","d'una Lucerna Antica , Amor cum Pavone et Leprore",,Transparent paper,"Ink, line drawing",,Engraving,Cupid holding the symbols of Hercules,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,Formerly in Pietro Santi Bartoli coll. (17th c.),,"Cupid, Hare, Peacock","Bartoli, 1691 - II, pl. 44",,,,2015-08-03T14:02:00Z
Lamp - Cupid victorious of Mars,http://digitalmontagny.inha.fr/en/record/montagny27r05,Folio 27 Recto,"Leaf 27r, bottom left of the page","Horizontal, turn book clockwise","Amor , Martis , victor , d'una , Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,Formerly in Pietro Santi Bartoli coll. (17th c.),,"Armour, Cupid, Mars, Mars (Attributes of), Shield","Bartoli, 1691 - II, pl. 43",,,,2015-08-03T14:07:00Z
Lamp - Cybele,http://digitalmontagny.inha.fr/en/record/montagny27r01,Folio 27 Recto,"Leaf 27r, top left of the page","Horizontal, turn book clockwise","Cybele , d'una Lucerna Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,"Italy, Rome, Via Appia, near the Church of San Sebastiano","41.8365644, 12.5516",Formerly in Filippo Ortensio Fabbri coll.,,"Crown, Cybele, Kanephoros, Lion, Throne","Bartoli, 1691 - II, pl. 30",,,,2015-08-03T15:28:00Z
Lamp - Dancing cupids,http://digitalmontagny.inha.fr/en/record/montagny29r05,Folio 29 Recto,"Leaf 29r, bottom left of the page","Horizontal, turn book clockwise","infantes orgiastae , di una Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,Formerly in Marquess Ottavia Renzi Strozzi coll. (17th c.),,"Cupid, Thyrsus, Vase","Bartoli, 1691 - II, pl. 25",,,,2015-08-03T12:01:00Z
Lamp - Diana,http://digitalmontagny.inha.fr/en/record/montagny14r02,Folio 14 Recto,"Leaf 14r, upper top of the page, center",Vertical,"Diana, d'una Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,lamps (lighting devices),,,,,Formerly in Giov. Pietro Bellori's coll.,"Bellori, Giovanni Pietro","Archer, Diana, Quiver","Bartoli, 1691 - II, pl. 32",,,,2015-08-14T22:23:00Z
Lamp - Eagle,http://digitalmontagny.inha.fr/en/record/montagny24r03,Folio 24 Recto,"Leaf 24r, top right of the page","Horizontal, turn book clockwise",d'una Lucerna Antica,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,"cardinal Massimi coll., Pietro Santi Bartoli coll. (?), 1708 : Vincenzo Vittoria coll.",,Eagle,"Bartoli, 1691 - II, pl. 4",,fol. 87,,2015-08-03T15:59:00Z
Lamp - Eagle,http://digitalmontagny.inha.fr/en/record/montagny24r10,Folio 24 Recto,"Leaf 24r, bottom right of the page","Horizontal, turn book clockwise","Tolto d'una Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,17th : Cavaliere Urbano Rocci coll.,,Eagle,"Bartoli, 1691 - II, pl. 2",,,,2015-08-03T15:37:00Z
Lamp - Eagle,http://digitalmontagny.inha.fr/en/record/montagny24r06,Folio 24 Recto,"Leaf 24r, center right of the page (middle)","Horizontal, turn book clockwise","tolto , d'una , Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,Formerly in Pietro Santi Bartoli coll. (17th c.),,Eagle,"Bartoli, 1691 - II, pl. 3",,,,2015-08-03T15:58:00Z
Lamp - Erection of a Term,http://digitalmontagny.inha.fr/en/record/montagny28r06,Folio 28 Recto,"Leaf 28r, bottom right of the page","Horizontal, turn book clockwise","Erectis Deus Terminus , tolto , d'una , Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,"Paris. Bibliothèque nationale. Département des monnaies, médailles et antiques","48.856614, 2.3522219",inv. 5290,terracotta (clay material),lamps (lighting devices),,,,,Formerly in Pietro Santi Bartoli coll. (17th c.)/ Formerly in Bellori's collection (Hellmann),"Bartoli, Pietro Sante","Herm, term, Panpipes, Pedum","Bartoli, 1691 - II, pl. 28",,"Hellmann, 1987",,2015-08-03T12:09:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, n. 301",,
Lamp - Fortuna,http://digitalmontagny.inha.fr/en/record/montagny14r03,Folio 14 Recto,"Leaf 14r, lower top of the page, center",Vertical,"d'una , Lucerna , Antica , Fortuna",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,lamps (lighting devices),,,,,Unknown,,"Cornucopia, Fortuna, Fruit, Throne","Bartoli, 1691 - II, pl. 46",,,,2015-08-14T22:24:00Z
Lamp - Funerary sacrifice,http://digitalmontagny.inha.fr/en/record/montagny18r05,Folio 18 Recto,"Leaf 18r, bottom left of the page",Vertical,"tolto d'una , Lucerna , Antica , sacrificium funebre",,Transparent paper,"Ink, line drawing",,Engraving,Funerary sacrifice,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,Formerly in Pietro Santi Bartoli coll. (17th c.),,"Column, pillar, Sacrifice","Bartoli, 1691 - I, pl. 19",,,,2015-08-15T14:26:00Z
Lamp - Gladiators,http://digitalmontagny.inha.fr/en/record/montagny29r01,Folio 29 Recto,"Leaf 29r, top left of the page","Horizontal, turn book clockwise","gladiatores , samnites, tolto , d'una , Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,Formerly in Carlo Antonio dal Pozzo coll. (2nd part of the 17th c.),Carlo Antonio dal Pozzo,"Gladiator, Helmet, Knife, Shield","Bartoli, 1691 - I, pl. 20",,,,2015-04-20T18:48:00Z
Lamp - Gladiators,http://digitalmontagny.inha.fr/en/record/montagny29r03,Folio 29 Recto,"Leaf 29r, top right of the page","Horizontal, turn book clockwise","gladiatores samnites , tolto , d'una , Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,Formerly in Pietro Santi Bartoli coll. (17th c.),,"Gladiator, Helmet, Knife, Shield","Bartoli, 1691 - I, pl. 21",,,,2015-08-03T12:06:00Z
Lamp - Harvest,http://digitalmontagny.inha.fr/en/record/montagny16v03,Folio 16 Verso,"Leaf 16v, bottom of the page",Vertical,"vindemia , d'una , Lucerna Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,lamps (lighting devices),,,,,Formerly in Giov. Pietro Bellori coll. (17th c.),,"Bunch of grapes, Chariot, Column, pillar, Harvest, Ox","Bartoli, 1691 - II, pl. 27",,,,2015-08-15T14:24:00Z
Lamp - Horseman,http://digitalmontagny.inha.fr/en/record/montagny24r07,Folio 24 Recto,"Leaf 24r, center right of the page (bottom)","Horizontal, turn book clockwise","Desultor cum duobus equis , voltigeur avec deux chevaux, d'una , Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),1st half of the 1st c. AD,,,,Formerly in Pietro Santi Bartoli coll. (17th c.),,"Horse, Horseman","Bartoli, 1691 - I, pl. 24",,,,2015-08-03T15:57:00Z
Lamp - Hunting Diana,http://digitalmontagny.inha.fr/en/record/montagny44r04,Folio 44 Recto,"Leaf 44r, center right of the page",Vertical,"d'una Lucerna Antica , Diana venatrix",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,lamps (lighting devices),,Probably discovered in the 17th c.,"Italy, Rome, Esquiline, vigna Montalta","41.9027835, 12.4963655",Formerly in Pietro Santi Bartoli coll. (17th c.),,"Archer, Diana hunting, Dog, Quiver, Stag","Bartoli, 1691 - II, pl. 33",,,,2015-07-27T14:19:00Z
Lamp - Juggler,http://digitalmontagny.inha.fr/en/record/montagny32r01,Folio 32 Recto,"Leaf 32r, top left of the page",Vertical,"circumforaneus , Tolto d'una , Lucerna Antica",,Transparent paper,"Ink, line drawing",,Engraving,,London. British Museum,"51.5194133, -0.1269566",Q 861,terracotta (clay material),lamps (lighting devices),Circa 30-70 CE,,,,"Formerly in C. Menestrier coll. (Rome, 17th c.), Charles Townley collection (18th c.)",,"Dog, Juggler, Monkey, Ring, Vase","Bartoli, 1691 - III, pl. 17","http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=397829&partId=1&searchText=lamp%20Q861&page=1, http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=1451353&partId=1&searchText=lamp%20Q861&page=1","Walters, 1914",,2015-08-03T15:45:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"pl. XVI, n. 679",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Bailey, 1975",,
,,,,,,,,,,,,,,,,,,,,,,,,,,Q861,,
Lamp - Jupiter Custos,http://digitalmontagny.inha.fr/en/record/montagny15r01,Folio 15 Recto,"Leaf 15r, top left of the page",Vertical,"Jupiter , Custos., d'una , Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,London. British Museum,"51.5194133, -0.1269566","1814,0704.227",,lamps (lighting devices),3rdC-4thC,,,,"Townley coll. (bought on the 18 april 1785), Acquired by the British Museum in 1814",,Jupiter custos,"Bartoli, 1691 - II, pl. 1",,"Bailey, 1975",,2015-02-09T14:18:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,Q 3778,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Walters, 1899",,
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 2519,,
Lamp - Lares,http://digitalmontagny.inha.fr/en/record/montagny42r01,Folio 42 Recto,"Leaf 42r, top left of the page",Vertical,"Inferia, offrande ou sacrifice qui , se faisoient pour les Morts , infériae , preso d'una Lucerna Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,lamps (lighting devices),,,,,"Formerly in Carlo Antonio dal Pozzo coll. (2nd part of the 17th c.), then Vincenzo Vittoria coll. (1708)","Carlo Antonio dal Pozzo, Victoria, Vicente","Bucranium, Garland, Horn, Lares","Bartoli, 1691 - I, pl. 13",,"Victoria, 1708",,2015-04-20T18:43:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,fol. 106,,
Lamp - Lares,http://digitalmontagny.inha.fr/en/record/montagny42r04,Folio 42 Recto,"Leaf 42r, center right of the page",Vertical,"infériae , offrandes ou sacrifices qui se , faisoient pour les morts , preso d'una Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,lamps (lighting devices),,,,,Formerly in Carlo Antonio dal Pozzo coll. (2nd part of the 17th c.),Carlo Antonio dal Pozzo,"Garland, Horn, Lares","Bartoli, 1691 - I, pl. 14",,,,2015-04-20T18:51:00Z
Lamp - Masks,http://digitalmontagny.inha.fr/en/record/montagny05r01,Folio 5 Recto,"Leaf 5r, top of the page",Vertical,(Larvae____scenicae) d’una lucerna Antica,,Transparent paper,"Ink, line drawing",,Engraving,Masks,Location unknown,,,,lamps (lighting devices),,,"Italy, Rome","41.9027835, 12.4963655",,"Bartoli, Pietro Sante",Mask,"Bartoli, 1691 - III, pl. 14",,,,2015-09-12T19:27:00Z
Lamp - Mercury,http://digitalmontagny.inha.fr/en/record/montagny72v02,Folio 72 Verso,"Leaf 72v, second drawing on top left of the page",Vertical,"Mercurius , tolto d'una Lucerna , Antica",,Transparent paper,"Ink, line drawing",,Engraving,Lamp - Mercury,Berlin. Collection of Classical Antiquities,"52.52000659999999, 13.404954",Berliner Antiken-Sammlung inv. TC 899,terracotta (clay material),lamps (lighting devices),2nd - 3rd c. CE,,"Italy, Rome, Via Labicana","41.8897235, 12.4990521","Formerly in Carlo Simoncini coll. (17th century) or/and painter Fabrizio Chiari coll. (1615-1695) (Heres), Then G. P. Bellori coll. (?), Then king Friedrich of Prussia coll. (1700)",,"Caduceus (Attributes of Mercury), Cock, Goat, Mercury, Petasus (Attributes of Mercury), Purse","Bartoli, 1691 - II, pl. 18",,"Bartoli, Bellori and Beger, 1702",,2015-03-03T14:11:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"III, p. 448, lamp AA",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Heres, 1972",,
,,,,,,,,,,,,,,,,,,,,,,,,,,n°445,,
Lamp - Minerva with a spear,http://digitalmontagny.inha.fr/en/record/montagny35r05,Folio 35 Recto,"Leaf 35r, second drawing on center right of the page",Vertical,"Tolto d'una Lucerna , Antica, Pallas aut Minerva , jaculatrix, ha l égide che gli serve di , corazza e di mantello",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,terracotta (clay material),lamps (lighting devices),,,,,Formerly in Pietro Santi Bartoli coll. (17th c.),,"Helmet, Minerva, Aegis, Shield, Snake, Spear","Bartoli, 1691 - II, pl. 38",,,,2015-07-29T13:55:00Z
